Mar-14-2019_2101

batchSize: 512
imageType: rcnn
imageFeaturemapSize: 36
imageFeatureChannels: 2048
gloveName: glove.42B.300d
gloveSize: 300
testName: rcnn_better_dropout
augmentations: None
dropout: False
gatedTanh: True
modelIdentifier: Mar-09-2019_0132
epoch: 22
stop: 25
initializer: he_normal
batchNorm: False
embedding: gru
noise: 0
trainvaltogether: True
questionDropout: False
imageDropout: False
normalizeImage: True
dropoutRate: 0.5
loss: binary_crossentropy
predictNormalizer: sigmoid
optimizer: adamax
scoreMultiplier: 0.3

23, 0.6299, 0.7736
24, 0.6319, 0.7865
