Mar-23-2019_1816

batchSize: 512
imageType: preprocessed_res_24
imageFeaturemapSize: 24
imageFeatureChannels: 1536
gloveName: glove.42B.300d
gloveSize: 300
testName: augmented_tanh
augmentations: None
dropout: True
gatedTanh: True
modelIdentifier: Mar-23-2019_1743
epoch: 25
stop: 28
initializer: he_normal
batchNorm: False
embedding: gru
noise: 0
trainvaltogether: False
questionDropout: False
imageDropout: False
attentionDropout: False
normalizeImage: False
dropoutRate: 0.5
loss: binary_crossentropy
predictNormalizer: sigmoid
optimizer: adamax
scoreMultiplier: 0.3
trainingSize: None
regularization: 0

26, 0.5778, 0.7327
27, 0.5787, 0.7432
